weeks	Methanobacteriaceae	Actinomycetaceae	Bifidobacteriaceae	Candidatus_Nanopelagicaceae	Corynebacteriaceae	Corynebacteriales_unclassified	Mycobacteriaceae	Nocardiaceae	Dermabacteraceae	Dermacoccaceae	Microbacteriaceae	Micrococcaceae	Micrococcales_unclassified	Propionibacteriaceae	Atopobiaceae	Coriobacteriaceae	Eggerthellaceae	Bacteroidetes_unclassified	Bacteroidaceae	Barnesiellaceae	Dysgonamonadaceae	Odoribacteraceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	Tannerellaceae	Chitinophagaceae	Flavobacteriaceae	Candidatus_Gastranaerophilales_unclassified	Chlamydiaceae	Alicyclobacillaceae	Bacillaceae	Bacillales_unclassified	Listeriaceae	Paenibacillaceae	Staphylococcaceae	Aerococcaceae	Carnobacteriaceae	Enterococcaceae	Lactobacillaceae	Leuconostocaceae	Streptococcaceae	Catabacteriaceae	Christensenellaceae	Clostridiaceae	Clostridiales_Family_XIII_Incertae_Sedis	Clostridiales_unclassified	Eubacteriaceae	Lachnospiraceae	Oscillospiraceae	Peptococcaceae	Peptostreptococcaceae	Ruminococcaceae	Erysipelotrichaceae	Firmicutes_unclassified	Acidaminococcaceae	Selenomonadaceae	Veillonellaceae	Peptoniphilaceae	Tissierellia_unclassified	Fusobacteriaceae	Leptotrichiaceae	Brucellaceae	Rhizobiaceae	Rhodobacteraceae	Rhodospirillales_unclassified	Sphingomonadaceae	Alcaligenaceae	Burkholderiaceae	Comamonadaceae	Oxalobacteraceae	Sutterellaceae	Chromobacteriaceae	Neisseriaceae	Desulfovibrionaceae	Campylobacteraceae	Succinivibrionaceae	Idiomarinaceae	Pseudoalteromonadaceae	Cardiobacteriaceae	Enterobacterales_unclassified	Enterobacteriaceae	Erwiniaceae	Hafniaceae	Morganellaceae	Pectobacteriaceae	Yersiniaceae	Halomonadaceae	Pasteurellaceae	Moraxellaceae	Pseudomonadaceae	Vibrionaceae	Xanthomonadaceae	Proteobacteria_unclassified	Spirochaetaceae	Synergistaceae	Mycoplasmataceae	Akkermansiaceae	Debaryomycetaceae	Saccharomycetaceae	Malasseziaceae	Cryptococcaceae
1	0	0	0.059520000000000003	0	0.00245	0	0	0	0	0	0	0.01409	0	0.011590000000000001	0	0.00448	0	0	0.06444	0	0	0	0	0	0	0.04096	0	0	0	0	0	0	0	0	0	0.40957	0	0	2.03884	0	0	0.06023	0	0	0.18943	0	0.0017800000000000001	0	1.5e-4	0	0	0	0.01284	0	0	0.0030600000000000002	0	0.036680000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.10701	0	0	0	0	12.93913	0	0	0	0	0	0	0	0	0	0	0.00374	0	0	0	0
1	0	0	0.29941	0	0	0	0	0	0	0	0	0.0476	0	0.0038299999999999996	0	0	0	0	3.9e-4	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0.23947	0	0	2.47836	0	0	0.39985	0.051789999999999996	0.00266	31.54565	0	0	0.00294	0	0	0	0.0034799999999999996	0	0	0	0.0059700000000000005	0.00243	5.3e-4	0	0	61.952130000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15519000000000002	0	0	0	0	0	0	0	0.0109	0	0	0	0	0	0.00748	2.75375	0.00123	0	0.0071400000000000005	0	0	0	0	0	0.00525	0.02125	0	0	0
1	0	0	0.8843	0	0	0	0	0	0	0	0	5.906680000000001	0	0	0	0	0.00545	0	0	0	0	0	0	0	0	0.00465	0	0	0	0	0	0	2.0449900000000003	0	0	85.11725	0	0	0.4874	0.17532999999999999	0	3.22931	0	0	0	0	0	0	0.08837	0	0	0.89099	0.22175999999999998	0.00564	0	0	0	0.30839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011890000000000001	0	0	0	0	0	0	0	0.08467999999999999	0	0	0	0	0	0.27019	0.02504	0	0	0.1795	0	0	0	0	0	0	0.0582	0	0	0
1	0	0	7.094119999999999	0.24916	0	0	0	0.29023000000000004	0	0	0.70935	0.06803	0	5.9574	0	1.60782	0	0	2.93898	0	0	0	0	0	0	0	0.49963	0	0	0	0.26855	0	0	0	0	0.013269999999999999	0	0	2.8471599999999997	0	3.94305	12.15773	0	0	0	0	0	0	3.76924	0	0	0	0	0	0	0	0	0.56445	0	0	0	0	0	0	0.04844	0	0	0	0.04575	0.39176	0	0	0	0	0	0	0	0	0	0	0	12.17807	0.23588	0	0	0	0.42141000000000006	16.738	0	9.229410000000001	0.39034	15.80724	1.1186399999999999	0	0	0	0	0.16225	0.15200999999999998	0	0	0
1	0	0	20.7351	0	1.77059	0	0	0	0	0	0	0	0	0	0	0	0.1962	0	2.24965	0	0	0	0	0	0	0.04397	0	0	0	0	0	0	0.06282	0	0	53.81624	0	0	6.69717	1.61449	0	1.6226399999999999	0	0	0.23495	0	0	0	2.76993	0	0	0	0.35653	0.4107	0	0	0	3.63199	0.10994000000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75195	0	0	0	0	0	0.38434	0.13029000000000002	0	0	0.40558	0	0	0	0	0	0.27244	0.73251	0	0	0
1	0	0.00774	1.08418	0	0	0	0	0	0	0	0	0.00409	0	0	0	0	0.00318	0	0.07566	0	0	0	0	0.01611	0	0	0	0	0	0	0	0	0.015780000000000002	0	0	0.72145	0	0	1.83932	0.0036899999999999997	0	0.21294000000000002	0	0	0.09351	0	0	0	0.05964	0	0	5.200000000000001e-4	0.00798	0.00589	0	0	0	0.00105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95.82426	0	0	0	0	0	0.01526	0	0	0	0.00774	0	0	0	0	0	0	0	0	0	0
1	0	0	0.08897999999999999	0	0.00367	0	0	0	0	0	0	0.17085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06034	0	0	0.14722000000000002	0	0	20.36792	0	0	0.24159	0	0	0.29635	0	2.2e-4	0	3.03035	0	0	3.45775	0.02646	6.07487	0	0	0	0.0814	0.00389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65.94005	0	0	0	0	0	0.004370000000000001	4.5e-4	0	0	0.00292	0	0	0	0	0	3.3e-4	0	0	0	0
1	0	0	11.62653	0	0	0	0	0	0	0	0	0.00731	0	0.32587	0	0	0.25561999999999996	0	0.0224	0	0	0	0	0	0	0.08932999999999999	0	0	0	0	0	0	0	0	0	25.45039	0	0	0	0	0.11734000000000001	1.51118	0	0	0.49945	0	0	0	5.22312	0	0	0	3.29989	0.11215	0	0	0	3.02928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2924	0	0	10.35833	0	0	0	0	0	20.26274	0	0.43328999999999995	0.04495	15.975270000000002	0.0608	0	0	0	0	1.0023799999999998	0	0	0	0
1	0	0	0.00217	0	0	0	0	0	0	0	0	0	0	4.1e-4	0	0	0	0	0	0	0	0	0	0	0	5e-4	0	0	0	0	0	0	0	0	0	99.89517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6e-4	0	0	0	0	0.006409999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0.09521	0	0	0	0	0	0	0	0	0.02029	0	0	0	0	0	0	0.00214	0	0	0	0	0	0	6.4e-4	0	0	0	0	0	0	0.00983	0	0	3.3026400000000002	0	0	96.14336999999999	0	0	0.19831	0	0	0	0	0	0	0.01366	0	0	0	0.00278	0.00317	0	0	0	0.03294	0	0	9.5e-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15691	0	0	0	0	0	0.01108	6.1e-4	0	0	0.00298	0	0	0	0	0	0.00249	0	0	0	0
