weeks	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
3	0.00193	0	0.13321	50.97508	0.022959999999999998	0	2.76562	0.06787	0	0	0
3	0	0	0	0.75497	0	0	1.6e-4	7.269360000000001	0.58839	0	0
4	28.61875	0	0	33.430609999999994	26.53789	0	0	2.12652	0.02228	0	0
4	0.02219	0	0	0.21893	0.00296	0	6.1e-4	0.1942	0.0038299999999999996	0	0
4	0.005379999999999999	0	0	0	0	0	0.006509999999999999	0.08302000000000001	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0
5	0.00324	0	0	4.69853	0	0	4.357080000000001	0.00773	8.07424	0	0
5	0	0	0	14.822579999999999	24.667270000000002	0	0.01732	8.79769	0.10173	0	0
5	0.04278	0	0.72941	0.15755	0.11949000000000001	0	0	0.13043	0.00812	0	0
5	0	0	0	0.06999	0	0	3.3916	0.25682	0	0	0
5	0.19867	0	0	0	0.0919	0	0	0.23146999999999998	2.31054	0	0
5	0	0	0	0.003	0	0	0.0011300000000000001	0.02361	0	0	0
6	0.11710999999999999	0	0.23474	0.24511	0.06175	0	0.033839999999999995	0.05669	0.02223	0	0
7	0.28541	0	0.5865100000000001	0.29716	0.24194000000000002	0.19774	0.09001	22.03624	0.01937	0	0
7	0	0	0	0	0.030430000000000002	0	0.00313	0	0	0	0
7	0	0	0.0049	0	0	0	0	0	0	0	0
9	0.08281000000000001	0	0.14401	32.94746	35.34425	0.01455	0.01762	3.46567	0.8464	0	0
11	0	0	0.04072	0.5301600000000001	0.09269	0	0	0.51539	0.15365	0	0
12	0	0	0.006999999999999999	0.44431000000000004	0.006809999999999999	0	0	0.99541	0	0	0
12	0.05722000000000001	0	0.064	0.26675	0.1583	0	0.010490000000000001	0.30094	0.016819999999999998	0	0
12	0.006529999999999999	0	0.09675	0.060989999999999996	0	0	0	0	0	0	0
12	0.02914	0	0.03085	0.06238	0.00507	0	0	13.850179999999998	0.14313	0	0
12	0.00583	0	0	0.12068	0.00913	0	0.023569999999999997	85.71314	0.01514	0	0
12	0	0	0	18.90983	0.06998	0	10.65518	57.92354	2.9999999999999997e-5	0	0
13	0.05014	0	0.0201	0.04678	0	0	8.699999999999999e-4	31.90195	0	0	0
13	1.6999999999999999e-4	0	0.0096	0.14490999999999998	0.0972	0	0	89.11339	0	0	0
13	0.00233	0	26.4442	0.02949	0.20343	0.00103	0.09241	0.14235	0.16164	0	0
13	0	0	0	0.13812	0.07202	0	0.15564	0.22044	0	0	0
13	0	0	0.00146	3.9576800000000003	0	0	0	0.26926	0	0	0
14	0.06506	0	0	72.83168	3.04664	0	0.06559	0.88351	3.20181	0	0
14	0	0	0.06187	0	0	0	0.00386	0	0	0	0
14	0	0	0	48.11752	40.681059999999995	0	0.01872	0.59077	4.4359	0	0
14	0	0	5.71632	0.21006	0	0	0	0.30525	0	0	0
14	39.78812	0	3.2e-4	16.47393	6.18372	9.74649	0	4.38561	0.00257	0	0
15	0	0	0	0.014469999999999998	0	0	0.06327	24.56758	2.13803	0	0
15	0	0	0	0	0	0	0	0	0	0	0
15	0.012980000000000002	0	0	13.724779999999999	24.6294	0	0	8.268419999999999	0.23193000000000003	0	0
16	0	0	81.45685999999999	0.07568	0.0103	0	0.00604	0.0067	6.7e-4	0	0
16	1.5003	0	0	0.0028399999999999996	43.16672	0.0048200000000000005	0.018580000000000003	2.87894	0	0	0
16	0	0	0	0.05019	13.69014	0	0	0.0050799999999999994	0.0062	0	0
16	0	0	0.01905	0.0015400000000000001	3.5e-4	0	0.01039	0.0178	0	0	0
16	14.79181	0	0	4.47666	0	0	0.08768	4.192819999999999	0	0.07117000000000001	0
17	4.9e-4	0	0.026010000000000002	0.17369	0.07703	0	41.80805	0.32153000000000004	0.01125	0	0
17	0	0	0	0.019540000000000002	0.12479000000000001	0	6.6e-4	0.0016	0	0	0
17	0	0	0	0.042089999999999995	0.02065	0	0	0.0031100000000000004	0.00119	0	0
17	0	0	0.004070000000000001	29.7652	35.00043	0	0	0.20786	0.00146	0	0
18	0	0	0.05275	0.11689000000000001	0.051460000000000006	0	5.35404	0.02351	0	0	0
18	0	0	0	0.0017100000000000001	0	0	0	0.00526	3.5e-4	0	0
18	0.01317	0	0	0.044660000000000005	0	0	0	0.07103	0.00329	0	0
18	0.22981	0	0	0.00935	0	0	0	0.024419999999999997	0	0	0
18	0.00609	0	0	3.01593	0.02213	0	0.02572	2.94745	8.940760000000001	0	0
19	0.037860000000000005	0	0.67	0.22815	0.00995	0	19.09114	17.04469	0	0	0
19	0.0159	0	0	0	0	0	0	1.41583	0.00217	0	0
19	21.02192	0	0.27447	0.17363	0.30671	0.013330000000000002	0.14657	26.56573	0.009170000000000001	0	0
19	0.07232999999999999	0	8.6e-4	82.34458000000001	0.00216	6e-4	1.23611	2.30397	12.30666	0	0
20	0.001	0	0	4.259519999999999	0.02374	0	0.06473999999999999	12.43539	0.01434	0	0
20	10.67217	0	0.005379999999999999	82.47851	0	0	0.26507	0.06341000000000001	0	0	0
20	0	0	0	13.33477	0	0	0	29.37568	0.053239999999999996	0	0
20	0	0	0.08695	0	0	0	0	0	0	0	0
21	0	0	0.6769	2.68909	0	0	0	0.52493	0.41079	0	0
21	0	0	0	0	0	0	0	0	0	0	0
21	40.75188	0	0	14.01521	30.164070000000002	0	0	2.81236	0.00454	0	0
23	0.00939	0	0.00564	0.13817000000000002	0	0	11.79237	0.031310000000000004	0.007109999999999999	0	0
24	0	0	0	39.17844	0.0015	0	0.006220000000000001	0.00232	0	0	0
24	0.22975	0	0	0.70468	0.0098	0	0	1.47141	1.23536	0	0
24	0	0	0.10287	0.0057399999999999994	0	0	0	0.00577	0	0	0
