weeks	B_adolescentis	B_angulatum	B_animalis	B_bifidum	B_breve	B_catenulatum	B_dentium	B_longum	B_pseudocatenulatum	B_pseudolongum	B_psychraerophilum
3	0	0	0	0	0	0	0	0	0	0	0
3	0	0	6.5e-4	0.049319999999999996	0.055060000000000005	0	0	0.01096	0.0031100000000000004	0	0
3	0	0	0	0	0.07447000000000001	0	0	4.15327	3.832	0	0
4	0.08857000000000001	0	0	0.09921	2.87197	0	0	0.0073	0.0067	0	0
4	0	0	0	0	0.01505	0	0.011340000000000001	0	0	0	0
4	0	0	0	0	0	0	0	9.77868	0	0	0
4	0	0	0	0.00913	0.007509999999999999	0	0.00466	56.57144	7.5e-4	0	0
4	0	0	0.10992	0	0.011359999999999999	0	0.0043	8.5e-4	0	0	0
4	5.3e-4	0	0	6.13469	12.254389999999999	0	0	15.23138	1.6e-4	0	0
4	0	0	0	0	0	0	0.01738	8.5e-4	0	0	0
4	0	0	0	0.056620000000000004	0.04554	0	0	0.011559999999999999	0	0	0
5	0.0012900000000000001	0	0	9.5e-4	0	0	0	0.01144	0	0	0
5	0	0	0	0	0	0	11.31379	0	0	0	0
5	8.02636	0	0	20.1192	0	0	0	55.00166	1.29141	0	0
5	0	0	0	0.55948	0.13773	0	0.07985	0.07725	0.08567000000000001	0	0
5	0.38943	0	0	3.35645	15.39272	0	2.64475	0.65117	0	0	0
5	0	0	0.0010199999999999999	0.00867	0	0	0	0.059829999999999994	0	0	0
5	0	0	0.14027	49.75974	0.011770000000000001	0	2.6818400000000002	0.017480000000000002	0	0	0
5	0	0	0	0	0.1264	0	0	0.18882000000000002	0	0	0
5	0	0	0.00673	0.00209	9.199999999999999e-4	0	0	0.011009999999999999	0.02305	0	0
5	0	0	0	0	0	0	20.22264	0.03204	0	0	0
5	4.23685	0	0	0.02052	0.0452	0	0	1.70145	0	0	0
5	0	0	0	0.0034	0	0	0	0.0067599999999999995	0	0	0
5	0	0	0.016919999999999998	0.006999999999999999	0.01025	0	3.66094	0.14662999999999998	0.03428	0	0
5	0.29557	0	0	0.57239	0.02613	0	0	2.82462	0.05591	0	0
5	0	0	0	0	0	0	0	7.39423	0	0	0
5	0	0	0.07852	0	0	0	0	0	0	0	0
5	0	0	0.01123	0	0	0	0	0.08207	0	0	0
5	0	0	0.26379	0.0077599999999999995	0.00481	0	0	0	0	0	0
5	0.19498	0	0	9.74301	15.67726	0	0	0	0	0	0
5	0.01037	0	0.0015199999999999999	54.08472	39.46628	0	0	0.34345	0.00898	0	0
6	0	0	4.46788	0.0018899999999999998	0	0	0	0.0012900000000000001	0.00168	0	0
6	10.08874	0	0.00364	0.0606	0.24139000000000002	0.00228	0.01596	2.53045	0.00609	0	0
6	0	0	0.01215	0.00692	0.00908	0	0.0018800000000000002	0.060329999999999995	0.03273	0	0
6	0	0	2.09632	0	0	0	0	0.15718	0	0	0
6	0.9724799999999999	0	0	0	0	0	0	1.90335	0	0	0
6	0	0	0	0	0.00463	0	0	0.12117	0	0	0
6	0	0	0.60806	0.00792	0	0	0	0.03499	0	0	0
6	5.94046	0	0	0.02375	0.050789999999999995	0	0	2.27888	0.01591	0	0
7	0	0	0	0.9424899999999999	0.35428000000000004	0	0	0.8185	0	0	0
8	0.006690000000000001	0	0.20876999999999998	22.58344	4.07135	0	0	5.80536	18.619889999999998	0	0
8	1.14505	0	0	0	0.00303	0	0	0.46093	0	0	0
